"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/27/2023","AQS","060290007","1","0.045","ppm","42","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/28/2023","AQS","060290007","1","0.051","ppm","47","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/29/2023","AQS","060290007","1","0.05","ppm","46","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/30/2023","AQS","060290007","1","0.045","ppm","42","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/31/2023","AQS","060290007","1","0.044","ppm","41","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/01/2023","AQS","060290007","1","0.049","ppm","45","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/02/2023","AQS","060290007","1","0.048","ppm","44","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/03/2023","AQS","060290007","1","0.043","ppm","40","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/04/2023","AQS","060290007","1","0.043","ppm","40","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/05/2023","AQS","060290007","1","0.047","ppm","44","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/06/2023","AQS","060290007","1","0.05","ppm","46","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/07/2023","AQS","060290007","1","0.054","ppm","50","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/08/2023","AQS","060290007","1","0.044","ppm","41","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/09/2023","AQS","060290007","1","0.05","ppm","46","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/10/2023","AQS","060290007","1","0.059","ppm","64","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/11/2023","AQS","060290007","1","0.043","ppm","40","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/12/2023","AQS","060290007","1","0.045","ppm","42","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/13/2023","AQS","060290007","1","0.05","ppm","46","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/14/2023","AQS","060290007","1","0.061","ppm","71","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/15/2023","AQS","060290007","1","0.062","ppm","74","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/16/2023","AQS","060290007","1","0.06","ppm","67","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/17/2023","AQS","060290007","1","0.05","ppm","46","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/18/2023","AQS","060290007","1","0.048","ppm","44","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/19/2023","AQS","060290007","1","0.051","ppm","47","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/20/2023","AQS","060290007","1","0.058","ppm","61","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/21/2023","AQS","060290007","1","0.067","ppm","90","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/22/2023","AQS","060290007","1","0.062","ppm","74","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/23/2023","AQS","060290007","1","0.047","ppm","44","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/24/2023","AQS","060290007","1","0.051","ppm","47","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/25/2023","AQS","060290007","1","0.062","ppm","74","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/26/2023","AQS","060290007","1","0.067","ppm","90","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/27/2023","AQS","060290007","1","0.075","ppm","115","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/28/2023","AQS","060290007","1","0.076","ppm","119","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/29/2023","AQS","060290007","1","0.073","ppm","108","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"04/30/2023","AQS","060290007","1","0.058","ppm","61","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/01/2023","AQS","060290007","1","0.049","ppm","45","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/02/2023","AQS","060290007","1","0.04","ppm","37","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/03/2023","AQS","060290007","1","0.046","ppm","43","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/04/2023","AQS","060290007","1","0.047","ppm","44","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/05/2023","AQS","060290007","1","0.042","ppm","39","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/06/2023","AQS","060290007","1","0.043","ppm","40","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/07/2023","AQS","060290007","1","0.045","ppm","42","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/08/2023","AQS","060290007","1","0.048","ppm","44","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/09/2023","AQS","060290007","1","0.051","ppm","47","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/10/2023","AQS","060290007","1","0.05","ppm","46","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/11/2023","AQS","060290007","1","0.056","ppm","54","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/12/2023","AQS","060290007","1","0.066","ppm","87","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/13/2023","AQS","060290007","1","0.076","ppm","119","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
